,date,quantidade,isPartial,habilidades
35,2022-08-14,69,False,Inovação
36,2022-08-21,73,False,Inovação
37,2022-08-28,81,False,Inovação
38,2022-09-04,65,False,Inovação
39,2022-09-11,70,False,Inovação
40,2022-09-18,72,False,Inovação
41,2022-09-25,71,False,Inovação
42,2022-10-02,58,False,Inovação
43,2022-10-09,57,False,Inovação
44,2022-10-16,73,False,Inovação
45,2022-10-23,62,False,Inovação
46,2022-10-30,63,False,Inovação
47,2022-11-06,77,False,Inovação
48,2022-11-13,70,False,Inovação
49,2022-11-20,76,False,Inovação
50,2022-11-27,67,False,Inovação
0,2021-12-12,0,False,Metodologias Ágeis
1,2021-12-19,25,False,Metodologias Ágeis
2,2021-12-26,18,False,Metodologias Ágeis
3,2022-01-02,0,False,Metodologias Ágeis
4,2022-01-09,58,False,Metodologias Ágeis
5,2022-01-16,17,False,Metodologias Ágeis
6,2022-01-23,36,False,Metodologias Ágeis
7,2022-01-30,48,False,Metodologias Ágeis
8,2022-02-06,0,False,Metodologias Ágeis
9,2022-02-13,34,False,Metodologias Ágeis
10,2022-02-20,42,False,Metodologias Ágeis
11,2022-02-27,35,False,Metodologias Ágeis
12,2022-03-06,0,False,Metodologias Ágeis
13,2022-03-13,51,False,Metodologias Ágeis
14,2022-03-20,52,False,Metodologias Ágeis
15,2022-03-27,50,False,Metodologias Ágeis
16,2022-04-03,45,False,Metodologias Ágeis
17,2022-04-10,54,False,Metodologias Ágeis
18,2022-04-17,40,False,Metodologias Ágeis
19,2022-04-24,39,False,Metodologias Ágeis
20,2022-05-01,53,False,Metodologias Ágeis
21,2022-05-08,51,False,Metodologias Ágeis
22,2022-05-15,27,False,Metodologias Ágeis
23,2022-05-22,100,False,Metodologias Ágeis
24,2022-05-29,63,False,Metodologias Ágeis
25,2022-06-05,26,False,Metodologias Ágeis
26,2022-06-12,44,False,Metodologias Ágeis
27,2022-06-19,86,False,Metodologias Ágeis
28,2022-06-26,45,False,Metodologias Ágeis
29,2022-07-03,60,False,Metodologias Ágeis
30,2022-07-10,36,False,Metodologias Ágeis
31,2022-07-17,24,False,Metodologias Ágeis
32,2022-07-24,26,False,Metodologias Ágeis
33,2022-07-31,29,False,Metodologias Ágeis
34,2022-08-07,56,False,Metodologias Ágeis
35,2022-08-14,41,False,Metodologias Ágeis
36,2022-08-21,66,False,Metodologias Ágeis
37,2022-08-28,34,False,Metodologias Ágeis
38,2022-09-04,36,False,Metodologias Ágeis
39,2022-09-11,34,False,Metodologias Ágeis
40,2022-09-18,34,False,Metodologias Ágeis
41,2022-09-25,47,False,Metodologias Ágeis
42,2022-10-02,32,False,Metodologias Ágeis
43,2022-10-09,14,False,Metodologias Ágeis
44,2022-10-16,44,False,Metodologias Ágeis
45,2022-10-23,47,False,Metodologias Ágeis
46,2022-10-30,37,False,Metodologias Ágeis
47,2022-11-06,50,False,Metodologias Ágeis
48,2022-11-13,25,False,Metodologias Ágeis
49,2022-11-20,32,False,Metodologias Ágeis
50,2022-11-27,25,False,Metodologias Ágeis
0,2021-12-12,66,False,Decisão
1,2021-12-19,35,False,Decisão
2,2021-12-26,24,False,Decisão
3,2022-01-02,33,False,Decisão
4,2022-01-09,39,False,Decisão
5,2022-01-16,46,False,Decisão
6,2022-01-23,58,False,Decisão
7,2022-01-30,57,False,Decisão
8,2022-02-06,68,False,Decisão
9,2022-02-13,73,False,Decisão
10,2022-02-20,71,False,Decisão
11,2022-02-27,57,False,Decisão
12,2022-03-06,64,False,Decisão
13,2022-03-13,76,False,Decisão
14,2022-03-20,81,False,Decisão
15,2022-03-27,100,False,Decisão
16,2022-04-03,83,False,Decisão
17,2022-04-10,65,False,Decisão
18,2022-04-17,74,False,Decisão
19,2022-04-24,84,False,Decisão
20,2022-05-01,81,False,Decisão
21,2022-05-08,71,False,Decisão
22,2022-05-15,75,False,Decisão
23,2022-05-22,80,False,Decisão
24,2022-05-29,92,False,Decisão
25,2022-06-05,86,False,Decisão
26,2022-06-12,67,False,Decisão
27,2022-06-19,75,False,Decisão
28,2022-06-26,66,False,Decisão
29,2022-07-03,58,False,Decisão
30,2022-07-10,59,False,Decisão
31,2022-07-17,55,False,Decisão
32,2022-07-24,54,False,Decisão
33,2022-07-31,59,False,Decisão
34,2022-08-07,58,False,Decisão
35,2022-08-14,60,False,Decisão
36,2022-08-21,67,False,Decisão
37,2022-08-28,77,False,Decisão
38,2022-09-04,74,False,Decisão
39,2022-09-11,70,False,Decisão
40,2022-09-18,84,False,Decisão
41,2022-09-25,86,False,Decisão
42,2022-10-02,71,False,Decisão
43,2022-10-09,64,False,Decisão
44,2022-10-16,86,False,Decisão
45,2022-10-23,96,False,Decisão
46,2022-10-30,75,False,Decisão
47,2022-11-06,78,False,Decisão
48,2022-11-13,76,False,Decisão
49,2022-11-20,72,False,Decisão
50,2022-11-27,72,False,Decisão
0,2021-12-12,88,False,Prazos
1,2021-12-19,58,False,Prazos
2,2021-12-26,40,False,Prazos
3,2022-01-02,73,False,Prazos
4,2022-01-09,100,False,Prazos
5,2022-01-16,97,False,Prazos
6,2022-01-23,81,False,Prazos
7,2022-01-30,98,False,Prazos
8,2022-02-06,80,False,Prazos
9,2022-02-13,76,False,Prazos
10,2022-02-20,78,False,Prazos
11,2022-02-27,73,False,Prazos
12,2022-03-06,68,False,Prazos
13,2022-03-13,68,False,Prazos
14,2022-03-20,68,False,Prazos
15,2022-03-27,71,False,Prazos
16,2022-04-03,74,False,Prazos
17,2022-04-10,69,False,Prazos
18,2022-04-17,65,False,Prazos
19,2022-04-24,80,False,Prazos
20,2022-05-01,77,False,Prazos
21,2022-05-08,69,False,Prazos
22,2022-05-15,70,False,Prazos
23,2022-05-22,70,False,Prazos
24,2022-05-29,72,False,Prazos
25,2022-06-05,77,False,Prazos
26,2022-06-12,66,False,Prazos
27,2022-06-19,80,False,Prazos
28,2022-06-26,70,False,Prazos
29,2022-07-03,71,False,Prazos
30,2022-07-10,56,False,Prazos
31,2022-07-17,67,False,Prazos
32,2022-07-24,65,False,Prazos
33,2022-07-31,63,False,Prazos
34,2022-08-07,58,False,Prazos
35,2022-08-14,67,False,Prazos
36,2022-08-21,66,False,Prazos
37,2022-08-28,59,False,Prazos
38,2022-09-04,57,False,Prazos
39,2022-09-11,63,False,Prazos
40,2022-09-18,65,False,Prazos
41,2022-09-25,61,False,Prazos
42,2022-10-02,51,False,Prazos
43,2022-10-09,63,False,Prazos
44,2022-10-16,66,False,Prazos
45,2022-10-23,65,False,Prazos
46,2022-10-30,66,False,Prazos
47,2022-11-06,77,False,Prazos
48,2022-11-13,79,False,Prazos
49,2022-11-20,79,False,Prazos
50,2022-11-27,80,False,Prazos
0,2021-12-12,0,False,Extração de Dados
1,2021-12-19,0,False,Extração de Dados
2,2021-12-26,24,False,Extração de Dados
3,2022-01-02,0,False,Extração de Dados
4,2022-01-09,100,False,Extração de Dados
5,2022-01-16,0,False,Extração de Dados
6,2022-01-23,0,False,Extração de Dados
7,2022-01-30,0,False,Extração de Dados
8,2022-02-06,26,False,Extração de Dados
9,2022-02-13,27,False,Extração de Dados
10,2022-02-20,24,False,Extração de Dados
11,2022-02-27,0,False,Extração de Dados
12,2022-03-06,0,False,Extração de Dados
13,2022-03-13,0,False,Extração de Dados
14,2022-03-20,40,False,Extração de Dados
15,2022-03-27,26,False,Extração de Dados
16,2022-04-03,35,False,Extração de Dados
17,2022-04-10,0,False,Extração de Dados
18,2022-04-17,15,False,Extração de Dados
19,2022-04-24,33,False,Extração de Dados
20,2022-05-01,58,False,Extração de Dados
21,2022-05-08,49,False,Extração de Dados
22,2022-05-15,35,False,Extração de Dados
23,2022-05-22,32,False,Extração de Dados
24,2022-05-29,29,False,Extração de Dados
25,2022-06-05,36,False,Extração de Dados
26,2022-06-12,0,False,Extração de Dados
27,2022-06-19,97,False,Extração de Dados
28,2022-06-26,60,False,Extração de Dados
29,2022-07-03,0,False,Extração de Dados
30,2022-07-10,36,False,Extração de Dados
31,2022-07-17,26,False,Extração de Dados
32,2022-07-24,44,False,Extração de Dados
33,2022-07-31,52,False,Extração de Dados
34,2022-08-07,24,False,Extração de Dados
35,2022-08-14,57,False,Extração de Dados
36,2022-08-21,33,False,Extração de Dados
37,2022-08-28,28,False,Extração de Dados
38,2022-09-04,49,False,Extração de Dados
39,2022-09-11,29,False,Extração de Dados
40,2022-09-18,74,False,Extração de Dados
41,2022-09-25,22,False,Extração de Dados
42,2022-10-02,31,False,Extração de Dados
43,2022-10-09,0,False,Extração de Dados
44,2022-10-16,43,False,Extração de Dados
45,2022-10-23,50,False,Extração de Dados
46,2022-10-30,78,False,Extração de Dados
47,2022-11-06,30,False,Extração de Dados
48,2022-11-13,48,False,Extração de Dados
49,2022-11-20,10,False,Extração de Dados
50,2022-11-27,20,False,Extração de Dados
0,2021-12-12,55,False,Machine Learning
1,2021-12-19,43,False,Machine Learning
2,2021-12-26,46,False,Machine Learning
3,2022-01-02,55,False,Machine Learning
4,2022-01-09,66,False,Machine Learning
5,2022-01-16,75,False,Machine Learning
6,2022-01-23,68,False,Machine Learning
7,2022-01-30,89,False,Machine Learning
8,2022-02-06,79,False,Machine Learning
9,2022-02-13,96,False,Machine Learning
10,2022-02-20,79,False,Machine Learning
11,2022-02-27,77,False,Machine Learning
12,2022-03-06,74,False,Machine Learning
13,2022-03-13,84,False,Machine Learning
14,2022-03-20,87,False,Machine Learning
15,2022-03-27,96,False,Machine Learning
16,2022-04-03,100,False,Machine Learning
17,2022-04-10,77,False,Machine Learning
18,2022-04-17,90,False,Machine Learning
19,2022-04-24,99,False,Machine Learning
20,2022-05-01,82,False,Machine Learning
21,2022-05-08,83,False,Machine Learning
22,2022-05-15,94,False,Machine Learning
23,2022-05-22,95,False,Machine Learning
