,Unnamed: 0,value,formattedValue,hasData,link,topic_mid,topic_title,topic_type,ferramenta
20,20,2,2,True,/trends/explore?q=/m/020s1&date=today+12-m&geo=BR,/m/020s1,Arquivo de computador,Assunto,Azure
21,21,1,1,True,/trends/explore?q=/m/01tkc2&date=today+12-m&geo=BR,/m/01tkc2,BLOB,Assunto,Azure
22,22,1,1,True,/trends/explore?q=/m/05z1_&date=today+12-m&geo=BR,/m/05z1_,Python,Linguagem de programação,Azure
23,23,1,1,True,/trends/explore?q=/m/03qn84b&date=today+12-m&geo=BR,/m/03qn84b,Usuário,Computação,Azure
24,24,1,1,True,/trends/explore?q=/m/0120vr&date=today+12-m&geo=BR,/m/0120vr,Microsoft SQL Server,Software,Azure
0,0,100,100,True,/trends/explore?q=/m/07btr5&date=today+12-m&geo=BR,/m/07btr5,Salesforce,Empresa,Salesforce
1,1,3,3,True,/trends/explore?q=/m/02y_9m3&date=today+12-m&geo=BR,/m/02y_9m3,Computação em nuvem,Assunto,Salesforce
2,2,2,2,True,/trends/explore?q=/m/018j6p&date=today+12-m&geo=BR,/m/018j6p,Programador,Emprego,Salesforce
3,3,2,2,True,/trends/explore?q=/m/0g4gr&date=today+12-m&geo=BR,/m/0g4gr,Marketing,Assunto,Salesforce
4,4,2,2,True,/trends/explore?q=/m/026sq&date=today+12-m&geo=BR,/m/026sq,Dados,Assunto,Salesforce
5,5,2,2,True,/trends/explore?q=/m/0z5n&date=today+12-m&geo=BR,/m/0z5n,Interface de programação de aplicações,Assunto,Salesforce
6,6,2,2,True,/trends/explore?q=/m/0bmgvsy&date=today+12-m&geo=BR,/m/0bmgvsy,ExactTarget,Empresa,Salesforce
7,7,2,2,True,/trends/explore?q=/m/02016&date=today+12-m&geo=BR,/m/02016,Gestão de relacionamento com o cliente,Assunto,Salesforce
8,8,1,1,True,/trends/explore?q=/m/02_6l9&date=today+12-m&geo=BR,/m/02_6l9,Trailhead,Assunto,Salesforce
9,9,1,1,True,/trends/explore?q=/m/016r48&date=today+12-m&geo=BR,/m/016r48,Objeto,Assunto,Salesforce
10,10,1,1,True,/trends/explore?q=/m/03qn84b&date=today+12-m&geo=BR,/m/03qn84b,Usuário,Computação,Salesforce
11,11,1,1,True,/trends/explore?q=/m/011b7yqg&date=today+12-m&geo=BR,/m/011b7yqg,Certificação,Assunto,Salesforce
12,12,1,1,True,/trends/explore?q=/m/0chln1&date=today+12-m&geo=BR,/m/0chln1,Relatório,Assunto,Salesforce
13,13,1,1,True,/trends/explore?q=/m/0gms8&date=today+12-m&geo=BR,/m/0gms8,Raio,Meteorologia,Salesforce
14,14,1,1,True,/trends/explore?q=/m/022x0&date=today+12-m&geo=BR,/m/022x0,Classe,Programação,Salesforce
15,15,1,1,True,/trends/explore?q=/m/015tl8&date=today+12-m&geo=BR,/m/015tl8,Fórmula,Assunto,Salesforce
16,16,1,1,True,/trends/explore?q=/m/0b25v&date=today+12-m&geo=BR,/m/0b25v,Licença,Assunto,Salesforce
17,17,0,<1,True,/trends/explore?q=/m/0ky_d&date=today+12-m&geo=BR,/m/0ky_d,Plataforma,Computação,Salesforce
18,18,0,<1,True,/trends/explore?q=/m/04y91_&date=today+12-m&geo=BR,/m/04y91_,Gatilho,Banco de dados,Salesforce
19,19,0,<1,True,/trends/explore?q=/m/08745&date=today+12-m&geo=BR,/m/08745,XML,Protocolo de internet,Salesforce
20,20,0,<1,True,/trends/explore?q=/g/11dxq18_85&date=today+12-m&geo=BR,/g/11dxq18_85,"Vlocity, Inc.",Desenvolvedor do software,Salesforce
21,21,0,<1,True,/trends/explore?q=/m/02wxnq&date=today+12-m&geo=BR,/m/02wxnq,Arquivo batch,Formato de arquivo,Salesforce
22,22,0,<1,True,/trends/explore?q=/m/05q4tvx&date=today+12-m&geo=BR,/m/05q4tvx,Variável,Programação,Salesforce
23,23,0,<1,True,/trends/explore?q=/m/0ryppmg&date=today+12-m&geo=BR,/m/0ryppmg,GitHub,Desenvolvedor do software,Salesforce
24,24,0,<1,True,/trends/explore?q=/g/11byylh20g&date=today+12-m&geo=BR,/g/11byylh20g,Google Chrome extension,Assunto,Salesforce
0,0,100,100,True,/trends/explore?q=/m/0fpzzp&date=today+12-m&geo=BR,/m/0fpzzp,Linux,Sistema operacional,Linux
1,1,9,9,True,/trends/explore?q=/m/03x5qm&date=today+12-m&geo=BR,/m/03x5qm,Ubuntu,Sistema operacional,Linux
2,2,7,7,True,/trends/explore?q=/m/02y_sk&date=today+12-m&geo=BR,/m/02y_sk,Instalação,Computação,Linux
3,3,7,7,True,/trends/explore?q=/m/0bm3b&date=today+12-m&geo=BR,/m/0bm3b,Download,Assunto,Linux
4,4,7,7,True,/trends/explore?q=/m/04r_8&date=today+12-m&geo=BR,/m/04r_8,Microsoft Windows,Software,Linux
5,5,6,6,True,/trends/explore?q=/m/0278lsn&date=today+12-m&geo=BR,/m/0278lsn,Linux Mint,Sistema operacional,Linux
6,6,6,6,True,/trends/explore?q=/m/01fk53&date=today+12-m&geo=BR,/m/01fk53,Comando,Assunto,Linux
7,7,5,5,True,/trends/explore?q=/m/03l34&date=today+12-m&geo=BR,/m/03l34,Unidade de disco rígido,Periférico do computador,Linux
8,8,5,5,True,/trends/explore?q=/m/07wcf&date=today+12-m&geo=BR,/m/07wcf,USB,Assunto,Linux
9,9,4,4,True,/trends/explore?q=/m/01l0h6&date=today+12-m&geo=BR,/m/01l0h6,Terminal,Periférico do computador,Linux
10,10,4,4,True,/trends/explore?q=/m/01tygv&date=today+12-m&geo=BR,/m/01tygv,Arquivo,Tipo de organização,Linux
11,11,4,4,True,/trends/explore?q=/m/0dqcdz&date=today+12-m&geo=BR,/m/0dqcdz,Diretório,Computação,Linux
12,12,3,3,True,/trends/explore?q=/m/0rpjb5q&date=today+12-m&geo=BR,/m/0rpjb5q,Kali Linux,Sistema operacional,Linux
13,13,3,3,True,/trends/explore?q=/m/020s1&date=today+12-m&geo=BR,/m/020s1,Arquivo de computador,Assunto,Linux
14,14,3,3,True,/trends/explore?q=/g/120x72xh&date=today+12-m&geo=BR,/g/120x72xh,Servidor,Natureza de software,Linux
15,15,3,3,True,/trends/explore?q=/m/05khh&date=today+12-m&geo=BR,/m/05khh,Sistema operativo,Assunto,Linux
16,16,2,2,True,/trends/explore?q=/m/031y74&date=today+12-m&geo=BR,/m/031y74,Arch Linux,Sistema operacional,Linux
17,17,2,2,True,/trends/explore?q=/m/01c648&date=today+12-m&geo=BR,/m/01c648,Notebook,Assunto,Linux
18,18,2,2,True,/trends/explore?q=/m/023s_v&date=today+12-m&geo=BR,/m/023s_v,USB flash drive,Formato de mídia,Linux
19,19,2,2,True,/trends/explore?q=/m/02996&date=today+12-m&geo=BR,/m/02996,Debian,Sistema operacional,Linux
20,20,2,2,True,/trends/explore?q=/m/04mj2&date=today+12-m&geo=BR,/m/04mj2,Distribuição Linux,Assunto,Linux
21,21,2,2,True,/trends/explore?q=/g/11b77b4nf8&date=today+12-m&geo=BR,/g/11b77b4nf8,2018,Assunto,Linux
22,22,2,2,True,/trends/explore?q=/m/01yr3k&date=today+12-m&geo=BR,/m/01yr3k,Imagem ISO,Formato de arquivo,Linux
23,23,2,2,True,/trends/explore?q=/m/0b6cy&date=today+12-m&geo=BR,/m/0b6cy,Boot,Assunto,Linux
24,24,2,2,True,/trends/explore?q=/m/04pm6&date=today+12-m&geo=BR,/m/04pm6,Linux,Núcleo,Linux
